Start Time,End Time,Packet Count,Packets/sec,Bytes/sec,Bits/sec,Average Packet Size,duration
1742994759.895464,1742994760.485115,269,456.20,"4,253,108.265000146",34024866.12,9322.86,589.651
1742994760.485115,1742994761.087405,267,443.31,"4,174,730.369917983",33397842.96,9417.22,602.290
1742994761.087405,1742994761.690813,261,432.54,"4,080,956.167576694",32647649.34,9434.80,603.408
1742994761.690813,1742994762.298677,231,380.02,"3,583,621.2498974334",28668970.00,9430.10,607.864
1742994762.298677,1742994762.903916,320,528.72,"4,986,050.843317225",39888406.75,9430.48,605.239
1742994762.903916,1742994763.491128,267,454.69,"4,281,924.812396212",34255398.50,9417.22,587.212
1742994763.491128,1742994764.084482,266,448.30,"4,223,745.110012549",33789960.88,9421.71,593.354
1742994764.084482,1742994764.682695,266,444.66,"4,193,757.3719205433",33550058.98,9431.43,598.213
1742994764.682695,1742994765.274979,248,418.72,"3,948,779.977296697",31590239.82,9430.65,592.284
1742994765.274979,1742994765.864745,283,479.85,"4,528,750.324805743",36230002.60,9437.82,589.766
1742994765.864745,1742994766.458392,267,449.76,"4,237,686.683416762",33901493.47,9422.06,593.647
1742994766.458392,1742994767.053668,266,446.85,"4,210,106.750566032",33680854.00,9421.71,595.276
1742994767.053668,1742994767.645159,266,449.71,"4,243,601.454721345",33948811.64,9436.29,591.491
1742994767.645159,1742994768.238386,266,448.40,"4,215,938.217516942",33727505.74,9402.29,593.227
1742994768.238386,1742994768.83206,267,449.74,"4,244,021.506421156",33952172.05,9436.58,593.674
1742994768.83206,1742994769.424662,265,447.18,"4,224,632.955283592",33797063.64,9447.27,592.602
1742994769.424662,1742994770.018208,267,449.84,"4,234,054.926517325",33872439.41,9412.38,593.546
1742994770.018208,1742994770.616104,268,448.24,"4,217,001.932688056",33736015.46,9407.94,597.896
1742994770.616104,1742994771.205308,265,449.76,"4,250,503.543621761",34004028.35,9450.62,589.204
1742994771.205308,1742994771.797906,265,447.18,"4,226,842.080208052",33814736.64,9452.14,592.598
1742994771.797906,1742994772.391815,266,447.88,"4,224,828.877095665",33798631.02,9432.95,593.909
1742994772.391815,1742994772.985003,266,448.42,"4,224,926.666925508",33799413.34,9421.71,593.188
1742994772.985003,1742994773.578176,265,446.75,"4,222,063.1853463175",33776505.48,9450.62,593.173
1742994773.578176,1742994774.171398,267,450.08,"4,227,655.76921998",33821246.15,9393.03,593.222
1742994774.171398,1742994774.764396,265,446.88,"4,214,594.1180710625",33716752.94,9431.12,592.998
1742994774.764396,1742994775.357756,266,448.29,"4,221,525.25090528",33772202.01,9416.86,593.360
1742994775.357756,1742994775.951089,266,448.31,"4,232,604.582933747",33860836.66,9441.14,593.333
1742994775.951089,1742994776.544604,267,449.86,"4,227,743.752536271",33821950.02,9397.87,593.515
1742994776.544604,1742994777.13788,267,450.04,"4,244,692.0129948",33957536.10,9431.74,593.276
1742994777.13788,1742994777.731179,265,446.66,"4,217,492.985721381",33739943.89,9442.39,593.299
1742994777.731179,1742994778.363101,255,403.53,"3,822,835.6897565075",30582685.52,9473.47,631.922
1742994778.363101,1742994779.212617,15,17.66,"167,989.78982511995",1343918.32,9514.00,849.516
1742994779.212617,1742994779.869118,166,252.86,"2,405,668.640651664",19245349.13,9514.00,656.501
1742994779.869118,1742994780.505215,40,62.88,"598,273.5766931135",4786188.61,9514.00,636.097
1742994780.505215,1742994781.139117,18,28.40,"270,155.2926224002",2161242.34,9514.00,633.902
1742994781.139117,1742994781.78142,6,9.34,"88,873.94406116672",710991.55,9514.00,642.303
1742994781.78142,1742994782.402744,52,83.69,"796,247.9324088591",6369983.46,9514.00,621.324
1742994782.402744,1742994783.068703,40,60.06,"571,446.6923429974",4571573.54,9514.00,665.959
1742994783.068703,1742994783.876245,85,105.26,"1,001,421.4916755657",8011371.93,9514.00,807.542
1742994783.876245,1742994784.474426,33,55.17,"524,861.1960638561",4198889.57,9514.00,598.181
1742994784.474426,1742994785.096254,14,22.51,"214,200.68416064192",1713605.47,9514.00,621.828
1742994785.096254,1742994785.722685,8,12.77,"121,501.01355158363",972008.11,9514.00,626.431
1742994785.722685,1742994786.335381,3,4.90,"46,584.28184555183",372674.25,9514.00,612.696
1742994786.335381,1742994787.173526,55,65.62,"624,319.1679208974",4994553.34,9514.00,838.145
1742994787.173526,1742994788.600825,55,38.53,"366,615.53864127543",2932924.31,9514.00,1427.299
1742994788.600825,1742994789.331486,2,2.74,"13,199.009002765111",105592.07,4822.00,730.661
1742994789.331486,1742994789.94239,94,153.87,"1,463,922.370285956",11711378.96,9514.00,610.904
1742994789.94239,1742994791.417853,36,24.40,"232,133.21156246684",1857065.69,9514.00,1475.463
1742994791.417853,1742994792.357042,3,3.19,"30,390.05067165172",243120.41,9514.00,939.189
1742994792.357042,1742994792.978712,28,45.04,"428,510.2975823719",3428082.38,9514.00,621.670
1742994792.978712,1742994793.595447,47,76.21,"725,040.7604344253",5800326.08,9514.00,616.735
1742994793.595447,1742994794.209127,36,58.66,"558,115.0822918771",4464920.66,9514.00,613.680
1742994794.209127,1742994795.23295,23,22.46,"213,730.29822331155",1709842.39,9514.00,1023.823
1742994795.23295,1742994796.085408,3,3.52,"33,482.0014521176",267856.01,9514.00,852.458
1742994796.085408,1742994796.76697,74,108.57,"1,032,974.3367192807",8263794.69,9514.00,681.562
1742994796.76697,1742994797.367268,18,29.99,"285,278.232753324",2282225.86,9514.00,600.298
1742994797.367268,1742994798.005013,56,87.81,"835,418.6713561948",6683349.37,9514.00,637.745
1742994798.005013,1742994799.126893,3,2.67,"25,441.22242496344",203529.78,9514.00,1121.880
1742994799.126893,1742994799.722274,80,134.37,"1,278,374.641641929",10226997.13,9514.00,595.381
1742994799.722274,1742994800.346432,41,65.69,"624,960.4411216895",4999683.53,9514.00,624.158
1742994800.346432,1742994801.346069,7,7.00,"66,622.17539380775",532977.40,9514.00,999.637
1742994801.346069,1742994802.056557,86,121.04,"1,151,608.727113606",9212869.82,9514.00,710.488
1742994802.056557,1742994802.752475,27,38.80,"369,121.03048417",2952968.24,9514.00,695.918
1742994802.752475,1742994803.841397,58,53.26,"506,750.70202725043",4054005.62,9514.00,1088.922
1742994803.841397,1742994804.475039,12,18.94,"180,177.46223388985",1441419.70,9514.00,633.642
1742994804.475039,1742994805.137112,32,48.33,"459,840.6027479937",3678724.82,9514.00,662.073
1742994805.137112,1742994805.730769,10,16.84,"160,260.8868672735",1282087.09,9514.00,593.657
1742994805.730769,1742994806.359524,51,81.11,"771,705.8767309143",6173647.01,9514.00,628.755
1742994806.359524,1742994806.95164,14,23.64,"224,949.21131268033",1799593.69,9514.00,592.116
1742994806.95164,1742994807.719269,42,54.71,"520,548.2384070417",4164385.91,9514.00,767.629
1742994807.719269,1742994808.963436,29,23.31,"221,759.6456363945",1774077.17,9514.00,1244.167
1742994808.963436,1742994809.587172,28,44.89,"427,090.85074149346",3416726.81,9514.00,623.736
1742994809.587172,1742994810.760587,35,29.83,"283,778.55697844975",2270228.46,9514.00,1173.415
1742994810.760587,1742994811.396731,34,53.45,"508,494.99366946996",4067959.95,9514.00,636.144
1742994811.396731,1742994811.98756,85,143.87,"1,368,737.5139107637",10949900.11,9514.00,590.829
1742994811.98756,1742994812.58618,478,798.50,"7,596,960.462056226",60775683.70,9514.00,598.620
1742994812.58618,1742994813.173228,400,681.38,"6,482,603.895448811",51860831.16,9514.00,587.048
1742994813.173228,1742994813.779716,467,770.01,"7,325,846.6407678295",58606773.13,9514.00,606.488
1742994813.779716,1742994814.368122,445,756.28,"7,195,251.886347963",57562015.09,9514.00,588.406
1742994814.368122,1742994814.956217,544,925.02,"8,800,646.906497033",70405175.25,9514.00,588.095
1742994814.956217,1742994815.546502,648,1097.77,"10,444,228.371393086",83553826.97,9514.00,590.285
1742994815.546502,1742994816.133537,502,855.15,"8,135,849.621055616",65086796.97,9514.00,587.035
1742994816.133537,1742994816.736984,576,954.52,"9,081,268.709880523",72650149.68,9514.00,603.447
