Start Time,End Time,Packet Count,Packets/sec,Bytes/sec,Bits/sec,Average Packet Size,duration
1742994759.895464,1742994761.337164,648,449.47,"4,215,495.649017154",33723965.19,9378.83,1441.700
1742994761.337164,1742994762.772815,643,447.88,"4,226,318.046557061",33810544.37,9436.26,1435.651
1742994762.772815,1742994764.209376,646,449.69,"4,235,133.45005837",33881067.60,9418.00,1436.561
1742994764.209376,1742994765.631982,627,440.74,"4,161,701.859785796",33293614.88,9442.52,1422.606
1742994765.631982,1742994767.083883,661,455.27,"4,287,789.715507822",34302317.72,9418.22,1451.901
1742994767.083883,1742994768.519058,645,449.42,"4,231,694.563637209",33853556.51,9415.85,1435.175
1742994768.519058,1742994769.955411,645,449.05,"4,235,701.206199152",33885609.65,9432.50,1436.353
1742994769.955411,1742994771.390338,636,443.23,"4,182,038.5675681066",33456308.54,9435.41,1434.927
1742994771.390338,1742994772.833452,650,450.41,"4,251,505.993454003",34012047.95,9439.09,1443.114
1742994772.833452,1742994774.267099,645,449.90,"4,237,106.03114008",33896848.25,9417.85,1433.647
1742994774.267099,1742994775.703889,644,448.22,"4,223,013.83254496",33784110.66,9421.71,1436.790
1742994775.703889,1742994777.13788,645,449.79,"4,239,692.702721962",33917541.62,9425.86,1433.991
1742994777.13788,1742994778.748383,532,330.33,"3,124,574.204644039",24996593.64,9458.90,1610.503
1742994778.748383,1742994780.317457,203,129.38,"1,230,880.1905022098",9847041.52,9514.00,1569.074
1742994780.317457,1742994781.78142,30,20.49,"194,963.93953004948",1559711.52,9514.00,1463.963
1742994781.78142,1742994783.205,110,77.27,"735,146.6377264368",5881173.10,9514.00,1423.580
1742994783.205,1742994785.096254,114,60.28,"573,479.7615610221",4587838.09,9514.00,1891.254
1742994785.096254,1742994786.823413,39,22.58,"214,830.2768982041",1718642.22,9514.00,1727.159
1742994786.823413,1742994788.600825,82,46.13,"438,923.5150271489",3511388.12,9514.00,1777.412
1742994788.600825,1742994790.030077,116,81.16,"765,603.3152123778",6124826.52,9433.10,1429.252
1742994790.030077,1742994791.505593,17,11.52,"109,614.52884073925",876916.23,9514.00,1475.516
1742994791.505593,1742994792.978712,30,20.36,"193,752.1653277408",1550017.32,9514.00,1473.119
1742994792.978712,1742994794.424301,95,65.72,"625,233.1112661071",5001864.89,9514.00,1445.589
1742994794.424301,1742994796.085408,14,8.43,"80,185.07833920945",641480.63,9514.00,1661.107
1742994796.085408,1742994797.572658,109,73.29,"697,277.4836055075",5578219.87,9514.00,1487.250
1742994797.572658,1742994799.126893,42,27.02,"257,096.25941173817",2056770.08,9514.00,1554.235
1742994799.126893,1742994800.686097,127,81.45,"774,932.6618288856",6199461.29,9514.00,1559.204
1742994800.686097,1742994802.137573,91,62.69,"596,478.3035185018",4771826.43,9514.00,1451.476
1742994802.137573,1742994803.841397,81,47.54,"452,296.70460525615",3618373.64,9514.00,1703.824
1742994803.841397,1742994805.730769,54,28.58,"271,918.94175403175",2175351.53,9514.00,1889.372
1742994805.730769,1742994807.154413,70,49.17,"467,799.51251307107",3742396.10,9514.00,1423.644
1742994807.154413,1742994808.963436,66,36.48,"347,106.7164518071",2776853.73,9514.00,1809.023
1742994808.963436,1742994810.760587,63,35.06,"333,517.86823260586",2668142.95,9514.00,1797.151
1742994810.760587,1742994812.182776,279,196.18,"1,866,422.8208049731",14931382.57,9514.00,1422.189
1742994812.182776,1742994813.629333,"1,040",718.95,"6,840,075.91288382",54720607.30,9514.00,1446.557
1742994813.629333,1742994815.052525,"1,250",878.31,"8,356,216.025329603",66849728.20,9514.00,1423.192
1742994815.052525,1742994816.47473,"1,294",909.85,"8,656,358.43519101",69250867.48,9514.00,1422.205
1742994816.47473,1742994817.9419,"1,334",909.23,"8,650,446.778042097",69203574.22,9514.00,1467.170
1742994817.9419,1742994819.368434,"1,292",905.69,"8,616,751.187803019",68934009.50,9514.00,1426.534
1742994819.368434,1742994820.792166,"1,122",788.07,"7,497,694.56804573",59981556.54,9514.00,1423.732
1742994820.792166,1742994822.228676,858,597.28,"5,682,530.237146897",45460241.90,9514.00,1436.510
1742994822.228676,1742994823.722936,127,84.99,"808,613.0485963832",6468904.39,9514.00,1494.260
1742994823.722936,1742994825.679127,74,37.83,"359,901.4499874465",2879211.60,9514.00,1956.191
1742994825.679127,1742994827.105238,145,101.68,"967,337.0561943633",7738696.45,9514.00,1426.111
1742994827.105238,1742994828.527257,"1,063",747.53,"7,111,987.931038599",56895903.45,9514.00,1422.019
1742994828.527257,1742994830.016692,"1,261",846.63,"8,054,835.788266093",64438686.31,9514.00,1489.435
1742994830.016692,1742994831.438976,"1,270",892.93,"8,495,334.91707306",67962679.34,9514.00,1422.284
1742994831.438976,1742994832.861095,"1,197",841.70,"8,007,950.658929496",64063605.27,9514.00,1422.119
1742994832.861095,1742994834.288027,"1,207",845.87,"8,047,613.497738926",64380907.98,9514.00,1426.932
1742994834.288027,1742994835.716655,"1,294",905.76,"8,617,440.143399475",68939521.15,9514.00,1428.628
1742994835.716655,1742994837.221576,316,209.98,"1,997,728.8382331321",15981830.71,9514.00,1504.921
1742994837.221576,1742994838.661207,51,35.43,"337,040.536754192",2696324.29,9514.00,1439.631
1742994838.661207,1742994840.09088,871,609.23,"5,796,216.514076001",46369732.11,9514.00,1429.673
1742994840.09088,1742994841.583139,"1,226",821.57,"7,816,447.278993985",62531578.23,9514.00,1492.259
1742994841.583139,1742994843.025714,838,580.91,"5,526,736.6495886855",44213893.20,9514.00,1442.575
1742994843.025714,1742994844.449265,"1,156",812.05,"7,725,879.411244646",61807035.29,9514.00,1423.551
1742994844.449265,1742994846.190072,975,560.09,"5,328,649.126135353",42629193.01,9514.00,1740.807
1742994846.190072,1742994847.613111,738,518.61,"4,934,040.598896435",39472324.79,9514.00,1423.039
1742994847.613111,1742994849.040356,"1,253",877.92,"8,352,485.257546942",66819882.06,9514.00,1427.245
1742994849.040356,1742994850.471626,241,168.38,"1,601,985.511966154",12815884.10,9514.00,1431.270
1742994850.471626,1742994851.896386,94,65.98,"627,695.9522024888",5021567.62,9514.00,1424.760
1742994851.896386,1742994854.025218,19,8.93,"84,913.2253526695",679305.80,9514.00,2128.832
1742994854.025218,1742994855.545125,63,41.45,"394,354.39202177525",3154835.14,9514.00,1519.907
1742994855.545125,1742994857.022639,37,25.04,"238,250.19133365166",1906001.53,9514.00,1477.514
1742994857.022639,1742994858.593609,65,41.38,"393,648.4955121514",3149187.96,9514.00,1570.970
1742994858.593609,1742994860.037948,31,21.46,"204,200.01200661078",1633600.10,9514.00,1444.339
1742994860.037948,1742994861.554064,15,9.89,"94,128.67261346502",753029.38,9514.00,1516.116
1742994861.554064,1742994862.997274,40,27.72,"263,689.9896171667",2109519.92,9514.00,1443.210
1742994862.997274,1742994864.674848,82,48.88,"465,045.31344396796",3720362.51,9514.00,1677.574
1742994864.674848,1742994866.120189,56,38.75,"368,621.69360260194",2948973.55,9514.00,1445.341
1742994866.120189,1742994867.680045,66,42.31,"402,552.55932295095",3220420.47,9514.00,1559.856
1742994867.680045,1742994869.224198,42,27.20,"258,774.83950833828",2070198.72,9514.00,1544.153
1742994869.224198,1742994870.710039,60,40.38,"384,186.5164757509",3073492.13,9514.00,1485.841
